# Isometric level. One entity per line; the in-game editor writes this file.
# Block: x, y, height(feet), type, room
Block: 1, -9, 0, PlaceholderSurface.png, Main
Block: -1, -7, 0, PlaceholderSurface.png, Main
Block: 3, -7, 2, PlaceholderSurfaceDark.png, Main
Block: 4, -7, 2, PlaceholderSurface.png, Main
Block: 5, -7, 2, PlaceholderSurfaceDark.png, Main
Block: 6, -7, 2, PlaceholderSurface.png, Main
Block: 7, -7, 2, PlaceholderSurfaceDark.png, Main
Block: 8, -7, 2, PlaceholderSurface.png, Main
Block: 9, -7, 2, PlaceholderSurfaceDark.png, Main
Block: 10, -7, 2, PlaceholderSurface.png, Main
Block: 11, -7, 2, PlaceholderSurfaceDark.png, Main
Block: 12, -7, 2, PlaceholderSurface.png, Main
Block: 13, -7, 2, MossyStone3.png, Main
Block: 3, -6, 2, PlaceholderSurface.png, Main
Block: 4, -6, 2, PlaceholderSurfaceDark.png, Main
Block: 5, -6, 2, PlaceholderSurface.png, Main
Block: 6, -6, 2, PlaceholderSurfaceDark.png, Main
Block: 7, -6, 2, PlaceholderSurface.png, Main
Block: 8, -6, 2, PlaceholderSurfaceDark.png, Main
Block: 9, -6, 2, PlaceholderSurface.png, Main
Block: 10, -6, 2, PlaceholderSurfaceDark.png, Main
Block: 11, -6, 2, PlaceholderSurface.png, Main
Block: 12, -6, 2, PlaceholderSurfaceDark.png, Main
Block: 13, -6, 2, MossyStone3.png, Main
Block: 3, -5, 2, PlaceholderSurfaceDark.png, Main
Block: 4, -5, 2, PlaceholderSurface.png, Main
Block: 5, -5, 2, PlaceholderSurfaceDark.png, Main
Block: 6, -5, 2, PlaceholderSurface.png, Main
Block: 7, -5, 2, PlaceholderSurfaceDark.png, Main
Block: 8, -5, 2, PlaceholderSurface.png, Main
Block: 9, -5, 2, PlaceholderSurfaceDark.png, Main
Block: 10, -5, 2, PlaceholderSurface.png, Main
Block: 11, -5, 2, PlaceholderSurfaceDark.png, Main
Block: 12, -5, 2, PlaceholderSurface.png, Main
Block: 13, -5, 2, MossyStone3.png, Main
Block: 3, -4, 2, PlaceholderSurface.png, Main
Block: 4, -4, 2, PlaceholderSurfaceDark.png, Main
Block: 5, -4, 2, PlaceholderSurface.png, Main
Block: 6, -4, 2, PlaceholderSurfaceDark.png, Main
Block: 7, -4, 2, PlaceholderSurface.png, Main
Block: 8, -4, 2, PlaceholderSurfaceDark.png, Main
Block: 9, -4, 2, PlaceholderSurface.png, Main
Block: 10, -4, 2, PlaceholderSurfaceDark.png, Main
Block: 11, -4, 4, PlaceholderSurface.png, Main
Block: 12, -4, 2, PlaceholderSurfaceDark.png, Main
Block: 13, -4, 2, MossyStone3.png, Main
Block: 4, -3, 2, DarkStoneSimple1.png, Main
Block: 5, -3, 2, DarkStoneSimple1.png, Main
Block: 6, -3, 2, DarkStoneSimple1.png, Main
Block: 7, -3, 2, DarkStoneSimple1.png, Main
Block: 8, -3, 2, DarkStoneSimple1.png, Main
Block: 9, -3, 2, DarkStoneSimple1.png, Main
Block: 10, -3, 2, DarkStoneSimple1.png, Main
Block: 11, -3, 2, DarkStoneSimple1.png, Main
Block: 12, -3, 2, DarkStoneSimple1.png, Main
Block: 13, -3, 2, MossyStone3.png, Main
Block: 4, -2, 2, DarkStoneSimple1.png, Main
Block: 5, -2, 1, DarkStoneSimple1.png, Main
Block: 6, -2, 1, DarkStoneSimple1.png, Main
Block: 7, -2, 1, DarkStoneSimple1.png, Main
Block: 8, -2, 1, DarkStoneSimple1.png, Main
Block: 9, -2, 1, DarkStoneSimple1.png, Main
Block: 10, -2, 1, DarkStoneSimple1.png, Main
Block: 11, -2, 1, DarkStoneSimple1.png, Main
Block: 12, -2, 1, DarkStoneSimple1.png, Main
Block: 13, -2, 1, MossyStone3.png, Main
Block: 4, -1, 2, DarkStoneSimple1.png, Main
Block: 5, -1, 1, DarkStoneSimple1.png, Main
Block: 6, -1, 1, DarkStoneSimple1.png, Main
Block: 7, -1, 1, DarkStoneSimple1.png, Main
Block: 8, -1, 1, DarkStoneSimple1.png, Main
Block: 9, -1, 1, DarkStoneSimple1.png, Main
Block: 10, -1, 1, DarkStoneSimple1.png, Main
Block: 11, -1, 1, MossyStone3.png, Main
Block: 12, -1, 1, MossyStone3.png, Main
Block: 4, 0, 2, DarkStoneSimple1.png, Main
Block: 5, 0, 1, MossyStone2.png, Main
Block: 6, 0, 1, MossyStone1.png, Main
Block: 7, 0, 1, MossyStone3.png, Main
Block: 8, 0, 1, MossyStone1.png, Main
Block: 9, 0, 1, MossyStone3.png, Main
Block: 10, 0, 1, MossyStone3.png, Main
Block: 0, 1, 0, MossyStoneMushroom1.png, Main
Block: 1, 1, 0, MossyStoneMushroom1.png, Main
Block: 2, 1, 0, MossyStone1.png, Main
Block: 3, 1, 0, MossyStone3.png, Main
Block: 4, 1, 0, MossyStone2.png, Main
Block: 5, 1, 0, MossyStoneMushroom1.png, Main
Block: 6, 1, 0, MossyStone3.png, Main
Block: 7, 1, 0, MossyStone2.png, Main
Block: 8, 1, 0, MossyStone1.png, Main
Block: 9, 1, 0, MossyStone1.png, Main
Block: 10, 1, 0, MossyStone2.png, Main
Block: 11, 1, 0, MossyStone3.png, Main
Block: 0, 2, 0, MossyStone2.png, Main
Block: 1, 2, 0, MossyStone2.png, Main
Block: 2, 2, 0, PlaceholderSurfaceDark.png, Main
Block: 3, 2, 0, PlaceholderSurface.png, Main
Block: 4, 2, 0, PlaceholderSurfaceDark.png, Main
Block: 5, 2, 0, PlaceholderSurface.png, Main
Block: 6, 2, 0, PlaceholderSurfaceDark.png, Main
Block: 7, 2, 0, PlaceholderSurface.png, Main
