# PixelFlat - one flat room. Movement, facing, cards and health.
#
# Everything here is at height 0 on purpose: nothing to climb, so a walk is
# only ever the four screen diagonals and the facing is easy to read.
# Block: x, y, height(feet), type, room

Block: 0, 0, 0, PixelGrassSurface, Yard
Block: 1, 0, 0, PixelGrassSurface, Yard
Block: 2, 0, 0, PixelGrassSurface, Yard
Block: 3, 0, 0, PixelGrassSurface, Yard
Block: 4, 0, 0, PixelGrassSurface, Yard
Block: 5, 0, 0, PixelGrassSurface, Yard
Block: 6, 0, 0, PixelGrassSurface, Yard
Block: 7, 0, 0, PixelGrassSurface, Yard
Block: 8, 0, 0, PixelGrassSurface, Yard
Block: 9, 0, 0, PixelGrassSurface, Yard
Block: 10, 0, 0, PixelGrassSurface, Yard
Block: 11, 0, 0, PixelGrassSurface, Yard
Block: 0, 1, 0, PixelGrassSurface, Yard
Block: 1, 1, 0, PixelGrassSurface, Yard
Block: 2, 1, 0, PixelGrassSurface, Yard
Block: 3, 1, 0, PixelGrassSurface, Yard
Block: 4, 1, 0, PixelGrassSurface, Yard
Block: 5, 1, 0, PixelGrassSurface, Yard
Block: 6, 1, 0, PixelGrassSurface, Yard
Block: 7, 1, 0, PixelGrassSurface, Yard
Block: 8, 1, 0, PixelGrassSurface, Yard
Block: 9, 1, 0, PixelGrassSurface, Yard
Block: 10, 1, 0, PixelGrassSurface, Yard
Block: 11, 1, 0, PixelGrassSurface, Yard
Block: 0, 2, 0, PixelGrassSurface, Yard
Block: 1, 2, 0, PixelGrassSurface, Yard
Block: 2, 2, 0, PixelGrassSurface, Yard
Block: 3, 2, 0, PixelGrassSurface, Yard
Block: 4, 2, 0, PixelGrassSurface, Yard
Block: 5, 2, 0, PixelGrassSurface, Yard
Block: 6, 2, 0, PixelGrassSurface, Yard
Block: 7, 2, 0, PixelGrassSurface, Yard
Block: 8, 2, 0, PixelGrassSurface, Yard
Block: 9, 2, 0, PixelGrassSurface, Yard
Block: 10, 2, 0, PixelGrassSurface, Yard
Block: 11, 2, 0, PixelGrassSurface, Yard
