# The pixel build's test board. Loaded by: dotnet run --project Desktop -- --pixel
# - Blocks whose type mentions grass or green draw the green tile, everything
#   else draws the grey one. The pixel build has only those two so far.
# - Two player starts: the Gun-O-Mancer and the Werewitch in witch form.
# - Goblins are placeholder cubes.

Block: 0, 0, 0, PixelGrass, Main
Block: 1, 0, 0, PixelGrass, Main
Block: 2, 0, 0, PixelGrass, Main
Block: 3, 0, 0, PixelGrass, Main
Block: 4, 0, 0, PixelGrass, Main
Block: 5, 0, 0, PixelStone, Main
Block: 6, 0, 0, PixelStone, Main
Block: 7, 0, 0, PixelGrass, Main
Block: 8, 0, 0, PixelGrass, Main
Block: 9, 0, 0, PixelGrass, Main
Block: 10, 0, 0, PixelGrass, Main
Block: 11, 0, 0, PixelGrass, Main
Block: 0, 1, 0, PixelGrass, Main
Block: 1, 1, 0, PixelGrass, Main
Block: 2, 1, 0, PixelGrass, Main
Block: 3, 1, 0, PixelGrass, Main
Block: 4, 1, 0, PixelGrass, Main
Block: 5, 1, 0, PixelStone, Main
Block: 6, 1, 0, PixelStone, Main
Block: 7, 1, 0, PixelGrass, Main
Block: 8, 1, 0, PixelGrass, Main
Block: 9, 1, 0, PixelGrass, Main
Block: 10, 1, 0, PixelGrass, Main
Block: 11, 1, 0, PixelGrass, Main
Block: 0, 2, 0, PixelGrass, Main
Block: 1, 2, 0, PixelGrass, Main
Block: 2, 2, 0, PixelGrass, Main
Block: 3, 2, 0, PixelGrass, Main
Block: 4, 2, 0, PixelGrass, Main
Block: 5, 2, 0, PixelStone, Main
Block: 6, 2, 0, PixelStone, Main
Block: 7, 2, 0, PixelGrass, Main
Block: 8, 2, 0, PixelGrass, Main
Block: 9, 2, 0, PixelGrass, Main
Block: 10, 2, 0, PixelGrass, Main
Block: 11, 2, 0, PixelGrass, Main
Block: 0, 3, 0, PixelGrass, Main
Block: 1, 3, 0, PixelGrass, Main
Block: 2, 3, 0, PixelGrass, Main
Block: 3, 3, 0, PixelGrass, Main
Block: 4, 3, 0, PixelGrass, Main
Block: 5, 3, 0, PixelStone, Main
Block: 6, 3, 0, PixelStone, Main
Block: 7, 3, 0, PixelGrass, Main
Block: 8, 3, 0, PixelGrass, Main
Block: 9, 3, 0, PixelGrass, Main
Block: 10, 3, 0, PixelGrass, Main
Block: 11, 3, 0, PixelGrass, Main
Block: 0, 4, 0, PixelStone, Main
Block: 1, 4, 0, PixelStone, Main
Block: 2, 4, 0, PixelStone, Main
Block: 3, 4, 0, PixelStone, Main
Block: 4, 4, 0, PixelStone, Main
Block: 5, 4, 0, PixelStone, Main
Block: 6, 4, 0, PixelStone, Main
Block: 7, 4, 0, PixelStone, Main
Block: 8, 4, 0, PixelStone, Main
Block: 9, 4, 0, PixelStone, Main
Block: 10, 4, 0, PixelStone, Main
Block: 11, 4, 0, PixelStone, Main
Block: 0, 5, 0, PixelGrass, Main
Block: 1, 5, 0, PixelGrass, Main
Block: 2, 5, 0, PixelGrass, Main
Block: 3, 5, 0, PixelGrass, Main
Block: 4, 5, 0, PixelGrass, Main
Block: 5, 5, 0, PixelStone, Main
Block: 6, 5, 0, PixelStone, Main
Block: 7, 5, 0, PixelGrass, Main
Block: 8, 5, 0, PixelGrass, Main
Block: 9, 5, 0, PixelGrass, Main
Block: 10, 5, 0, PixelGrass, Main
Block: 11, 5, 0, PixelGrass, Main
Block: 0, 6, 0, PixelGrass, Main
Block: 1, 6, 0, PixelGrass, Main
Block: 2, 6, 0, PixelGrass, Main
Block: 3, 6, 0, PixelGrass, Main
Block: 4, 6, 0, PixelGrass, Main
Block: 5, 6, 0, PixelStone, Main
Block: 6, 6, 0, PixelStone, Main
Block: 7, 6, 0, PixelGrass, Main
Block: 8, 6, 0, PixelGrass, Main
Block: 9, 6, 0, PixelGrass, Main
Block: 10, 6, 0, PixelGrass, Main
Block: 11, 6, 0, PixelGrass, Main
Block: 0, 7, 0, PixelGrass, Main
Block: 1, 7, 0, PixelGrass, Main
Block: 2, 7, 0, PixelGrass, Main
Block: 3, 7, 0, PixelGrass, Main
Block: 4, 7, 0, PixelGrass, Main
Block: 5, 7, 0, PixelStone, Main
Block: 6, 7, 0, PixelStone, Main
Block: 7, 7, 0, PixelGrass, Main
Block: 8, 7, 0, PixelGrass, Main
Block: 9, 7, 0, PixelGrass, Main
Block: 10, 7, 0, PixelGrass, Main
Block: 11, 7, 0, PixelGrass, Main
Block: 0, 8, 0, PixelGrass, Main
Block: 1, 8, 0, PixelGrass, Main
Block: 2, 8, 0, PixelGrass, Main
Block: 3, 8, 0, PixelGrass, Main
Block: 4, 8, 0, PixelGrass, Main
Block: 5, 8, 0, PixelStone, Main
Block: 6, 8, 0, PixelStone, Main
Block: 7, 8, 0, PixelGrass, Main
Block: 8, 8, 0, PixelGrass, Main
Block: 9, 8, 0, PixelGrass, Main
Block: 10, 8, 0, PixelGrass, Main
Block: 11, 8, 0, PixelGrass, Main
Block: 0, 9, 0, PixelGrass, Main
Block: 1, 9, 0, PixelGrass, Main
Block: 2, 9, 0, PixelGrass, Main
Block: 3, 9, 0, PixelGrass, Main
Block: 4, 9, 0, PixelGrass, Main
Block: 5, 9, 0, PixelStone, Main
Block: 6, 9, 0, PixelStone, Main
Block: 7, 9, 0, PixelGrass, Main
Block: 8, 9, 0, PixelGrass, Main
Block: 9, 9, 0, PixelGrass, Main
Block: 10, 9, 0, PixelGrass, Main
Block: 11, 9, 0, PixelGrass, Main
Block: 9, 7, 2, PixelStone, Main
Block: 10, 7, 2, PixelStone, Main
Block: 11, 7, 2, PixelStone, Main
Block: 9, 8, 2, PixelStone, Main
Block: 10, 8, 2, PixelStone, Main
Block: 11, 8, 2, PixelStone, Main
Block: 9, 9, 2, PixelStone, Main
Block: 10, 9, 2, PixelStone, Main
Block: 11, 9, 2, PixelStone, Main

PlayerStart: 2, 2
PlayerStart: 3, 2
PlayerStart: 2, 3
PlayerStart: 3, 3

Enemy: 8, 1, Goblin
Enemy: 9, 5, Goblin
Enemy: 6, 8, Goblin
