# Isometric level. One entity per line; the in-game editor writes this file.
# Block: x, y, height(feet), type, room
Block: 6, -4, 0, MossyStone1.png, Main
Block: 8, -3, 2, MossyStone1.png, Main
Block: 9, -3, 2, MossyStone1.png, Main
Block: 5, -2, 1, DarkStoneSimple1.png, Main
Block: 6, -2, 1, DarkStoneSimple1.png, Main
Block: 7, -2, 1, DarkStoneSimple1.png, Main
Block: 8, -2, 1, DarkStoneSimple1.png, Main
Block: 9, -2, 1, DarkStoneSimple1.png, Main
Block: 5, -1, 1, DarkStoneSimple1.png, Main
Block: 6, -1, 1, DarkStoneSimple1.png, Main
Block: 7, -1, 1, DarkStoneSimple1.png, Main
Block: 8, -1, 1, DarkStoneSimple1.png, Main
Block: 9, -1, 1, DarkStoneSimple1.png, Main
Block: 10, -1, 1, MossyStone3.png, Main
Block: 5, 0, 1, MossyStone2.png, Main
Block: 6, 0, 1, MossyStone1.png, Main
Block: 7, 0, 1, MossyStone3.png, Main
Block: 8, 0, 1, MossyStone1.png, Main
Block: 9, 0, 1, MossyStone3.png, Main
Block: 10, 0, 1, MossyStone3.png, Main
Block: 0, 1, 0, MossyStoneMushroom1.png, Main
Block: 1, 1, 0, MossyStoneMushroom1.png, Main
Block: 2, 1, 0, MossyStone1.png, Main
Block: 3, 1, 0, MossyStone3.png, Main
Block: 4, 1, 0, MossyStone2.png, Main
Block: 5, 1, 0, MossyStoneMushroom1.png, Main
Block: 6, 1, 0, MossyStone3.png, Main
Block: 7, 1, 0, MossyStone2.png, Main
Block: 8, 1, 0, MossyStone1.png, Main
Block: 9, 1, 0, MossyStone1.png, Main
Block: 10, 1, 0, MossyStone2.png, Main
Block: 11, 1, 0, MossyStone3.png, Main
Block: 0, 2, 0, MossyStone2.png, Main
Block: 1, 2, 0, MossyStone2.png, Main
Block: 2, 2, 0, PlaceholderSurfaceDark.png, Main
Block: 3, 2, 0, PlaceholderSurface.png, Main
Block: 4, 2, 0, PlaceholderSurfaceDark.png, Main
Block: 5, 2, 0, PlaceholderSurface.png, Main
Block: 6, 2, 0, PlaceholderSurfaceDark.png, Main
Block: 7, 2, 0, PlaceholderSurface.png, Main
Block: 8, 2, 0, PlaceholderSurfaceDark.png, Main
Block: 9, 2, 0, PlaceholderSurface.png, Main
Block: 10, 2, 0, PlaceholderSurfaceDark.png, Main
Block: 11, 2, 0, MossyStoneMushroom1.png, Main
Block: 14, 2, 0, PlaceholderSurfaceDark.png, Main
Block: 15, 2, 0, PlaceholderSurfaceDark.png, Main
Block: 16, 2, 0, DarkStoneSimple4.png, Main
Block: 17, 2, 0, DarkStoneSimple2.png, Main
Block: 18, 2, 0, DarkStoneSimple2.png, Main
Block: 19, 2, 0, DarkStoneSimple3.png, Main
Block: 20, 2, 0, DarkStoneSimple2.png, Main
Block: 21, 2, 0, DarkStoneSimple1.png, Main
Block: 0, 3, 0, MossyStoneMushroom1.png, Main
Block: 1, 3, 0, MossyStone1.png, Main
Block: 2, 3, 0, PlaceholderSurface.png, Main
Block: 3, 3, 0, PlaceholderSurfaceDark.png, Main
Block: 4, 3, 0, PlaceholderSurface.png, Main
Block: 5, 3, 0, PlaceholderSurfaceDark.png, Main
Block: 6, 3, 0, PlaceholderSurface.png, Main
Block: 7, 3, 0, PlaceholderSurfaceDark.png, Main
Block: 8, 3, 0, PlaceholderSurface.png, Main
Block: 9, 3, 0, PlaceholderSurfaceDark.png, Main
Block: 10, 3, 0, PlaceholderSurface.png, Main
Block: 11, 3, 0, MossyStone4.png, Main
Block: 12, 3, 0, PlaceholderSurfaceDark.png, Main
Block: 13, 3, 0, PlaceholderSurfaceDark.png, Main
Block: 14, 3, 0, PlaceholderSurfaceDark.png, Main
Block: 15, 3, 0, PlaceholderSurfaceDark.png, Main
Block: 16, 3, 0, DarkStoneSimple1.png, Main
Block: 17, 3, 0, DarkStoneSimple3.png, Main
Block: 18, 3, 0, DarkStoneSimple4.png, Main
Block: 19, 3, 0, DarkStoneSimple3.png, Main
Block: 20, 3, 0, DarkStoneSimple1.png, Main
Block: 21, 3, 0, DarkStoneSimple4.png, Main
Block: 0, 4, 0, MossyStoneMushroom1.png, Main
Block: 1, 4, 0, MossyStone4.png, Main
Block: 2, 4, 0, PlaceholderSurfaceDark.png, Main
Block: 3, 4, 0, PlaceholderSurface.png, Main
Block: 4, 4, 0, PlaceholderSurface.png, Main
Block: 5, 4, 0, PlaceholderSurface.png, Main
Block: 6, 4, 0, PlaceholderSurfaceDark.png, Main
Block: 7, 4, 0, PlaceholderSurface.png, Main
Block: 8, 4, 0, PlaceholderSurfaceDark.png, Main
Block: 9, 4, 0, PlaceholderSurface.png, Main
Block: 10, 4, 0, PlaceholderSurfaceDark.png, Main
Block: 11, 4, 0, MossyStone3.png, Main
