# Isometric level. One entity per line; the in-game editor writes this file.
# Block: x, y, height(feet), type, room
Block: -14, -6, 0, MossyStone3.png, Main
Block: -13, -6, 0, MossyStone3.png, Main
Block: -12, -6, 0, MossyStone3.png, Main
Block: -11, -6, 0, MossyStone4.png, Main
Block: -10, -6, 0, MossyStone3.png, Main
Block: -9, -6, 0, MossyStoneMushroom1.png, Main
Block: -8, -6, 0, MossyStoneMushroom1.png, Main
Block: -7, -6, 0, MossyStoneMushroom1.png, Main
Block: -6, -6, 0, MossyStone4.png, Main
Block: -4, -6, 0, MossyStone3.png, Main
Block: -3, -6, 0, DarkStoneWeird2.png, Main
Block: -2, -6, 0, DarkStoneWeird2.png, Main
Block: -1, -6, 2, DarkStoneWeird2.png, Main
Block: 0, -6, 2, DarkStoneWeird2.png, Main
Block: 1, -6, 2, DarkStoneWeird2.png, Main
Block: 2, -6, 1, DarkStoneWeird2.png, Main
Block: 3, -6, 1, DarkStoneWeird2.png, Main
Block: -14, -5, 0, MossyStone1.png, Main
Block: -13, -5, 0, MossyStone2.png, Main
Block: -12, -5, 0, MossyStone1.png, Main
Block: -11, -5, 0, MossyStone3.png, Main
Block: -10, -5, 0, MossyStone4.png, Main
Block: -9, -5, 0, MossyStone3.png, Main
Block: -8, -5, 0, MossyStone3.png, Main
Block: -7, -5, 0, MossyStone3.png, Main
Block: -6, -5, 0, MossyStone2.png, Main
Block: -5, -5, 0, MossyStone4.png, Main
Block: -4, -5, 0, MossyStone4.png, Main
Block: -3, -5, 0, DarkStoneWeird2.png, Main
Block: -1, -5, 2, DarkStoneWeird2.png, Main
Block: 0, -5, 2, DarkStoneWeird2.png, Main
Block: 1, -5, 2, DarkStoneWeird2.png, Main
Block: 2, -5, 1, DarkStoneWeird2.png, Main
Block: 3, -5, 1, DarkStoneWeird2.png, Main
Block: -14, -4, 0, MossyStoneMushroom1.png, Main
Block: -13, -4, 0, MossyStone2.png, Main
Block: -12, -4, 0, MossyStoneMushroom1.png, Main
Block: -11, -4, 0, DarkStoneWeird2.png, Main
Block: -10, -4, 0, MossyStoneMushroom1.png, Main
Block: -9, -4, 0, MossyStone4.png, Main
Block: -8, -4, 0, MossyStone2.png, Main
Block: -7, -4, 0, MossyStone1.png, Main
Block: -6, -4, 0, MossyStoneMushroom1.png, Main
Block: -4, -4, 0, MossyStoneMushroom1.png, Main
Block: -3, -4, 0, DarkStoneWeird2.png, Main
Block: -2, -4, 0, DarkStoneWeird1.png, Main
Block: -1, -4, 2, DarkStoneWeird2.png, Main
Block: 0, -4, 2, DarkStoneWeird2.png, Main
Block: 1, -4, 2, DarkStoneWeird2.png, Main
Block: 2, -4, 1, DarkStoneWeird2.png, Main
Block: 3, -4, 1, DarkStoneWeird2.png, Main
Block: -14, -3, 0, MossyStone1.png, Main
Block: -13, -3, 0, MossyStone1.png, Main
Block: -12, -3, 0, DarkStoneWeird2.png, Main
Block: -11, -3, 0, DarkStoneWeird2.png, Main
Block: -10, -3, 0, MossyStoneMushroom1.png, Main
Block: -9, -3, 0, MossyStoneMushroom1.png, Main
Block: -8, -3, 0, MossyStone3.png, Main
Block: -7, -3, 0, MossyStone2.png, Main
Block: -6, -3, 0, MossyStone2.png, Main
Block: -4, -3, 0, MossyStone4.png, Main
Block: -3, -3, 0, DarkStoneWeird2.png, Main
Block: -2, -3, 0, DarkStoneWeird2.png, Main
Block: -1, -3, 2, DarkStoneWeird2.png, Main
Block: 0, -3, 2, DarkStoneSimple1.png, Main
Block: 1, -3, 2, DarkStoneSimple2.png, Main
Block: 2, -3, 1, DarkStoneWeird2.png, Main
Block: 3, -3, 1, DarkStoneWeird2.png, Main
Block: -14, -2, 0, MossyStone3.png, Main
Block: -13, -2, 0, MossyStone3.png, Main
Block: -12, -2, 0, MossyStoneMushroom1.png, Main
Block: -11, -2, 0, DarkStoneWeird2.png, Main
Block: -10, -2, 0, DarkStoneWeird2.png, Main
Block: -9, -2, 0, MossyStoneMushroom1.png, Main
Block: -8, -2, 0, MossyStone3.png, Main
Block: -7, -2, 2, MossyStoneTall1.png, Main
Block: -6, -2, 0, MossyStoneMushroom1.png, Main
Block: -4, -2, 0, DarkStoneWeird2.png, Main
Block: -3, -2, 0, DarkStoneWeird2.png, Main
Block: -2, -2, 0, DarkStoneWeird2.png, Main
Block: -1, -2, 1, DarkStoneSimple2.png, Main
Block: 0, -2, 1, DarkStoneSimple2.png, Main
Block: 1, -2, 1, DarkStoneSimple2.png, Main
Block: 2, -2, 2, DarkStoneSimple2.png, Main
Block: 3, -2, 1, DarkStoneWeird2.png, Main
Block: -13, -1, 0, MossyStone3.png, Main
Block: -12, -1, 0, MossyStoneMushroom1.png, Main
Block: -11, -1, 0, MossyStone2.png, Main
Block: -10, -1, 0, MossyStoneMushroom1.png, Main
Block: -4, -1, 0, DarkStoneWeird2.png, Main
Block: -3, -1, 0, DarkStoneWeird2.png, Main
Block: -2, -1, 0, DarkStoneWeird2.png, Main
Block: -1, -1, 0, DarkStoneWeird2.png, Main
Block: 0, -1, 0, DarkStoneWeird2.png, Main
Block: 1, -1, 0, DarkStoneWeird1.png, Main
Block: 2, -1, 0, DarkStoneWeird3.png, Main
Block: 3, -1, 0, DarkStoneWeird1.png, Main
Block: -4, 0, 0, DarkStoneWeird1.png, Main
Block: -3, 0, 0, DarkStoneWeird1.png, Main
Block: -2, 0, 0, DarkStoneWeird2.png, Main
Block: -1, 0, 0, DarkStoneWeird2.png, Main
Block: 0, 0, 0, DarkStoneWeird1.png, Main
Block: 1, 0, 0, DarkStoneWeird3.png, Main
Block: 2, 0, 0, DarkStoneWeird1.png, Main
Block: 3, 0, 0, DarkStoneWeird2.png, Main
Block: -4, 1, 0, DarkStoneWeird4.png, Main
Block: -3, 1, 0, DarkStoneWeird4.png, Main
Block: -2, 1, 0, DarkStoneSimple1.png, Main
Block: -1, 1, 0, DarkStoneWeird2.png, Main
Block: 0, 1, 0, DarkStoneWeird4.png, Main
Block: 1, 1, 0, DarkStoneWeird1.png, Main
Block: 2, 1, 0, DarkStoneWeird4.png, Main
Block: 3, 1, 0, DarkStoneWeird3.png, Main
Block: -5, 2, 0, DarkStoneWeird2.png, Main
Block: -4, 2, 0, DarkStoneWeird4.png, Main
Block: -3, 2, 0, DarkStoneWeird4.png, Main
Block: -2, 2, 0, DarkStoneWeird2.png, Main
Block: -1, 2, 0, DarkStoneSimple1.png, Main
Block: 0, 2, 0, DarkStoneWeird4.png, Main
Block: 1, 2, 0, DarkStoneWeird1.png, Main
Block: 2, 2, 0, DarkStoneWeird4.png, Main
Block: 3, 2, 0, DarkStoneWeird1.png, Main
Block: -6, 3, 0, DarkStoneWeird2.png, Main
Block: -4, 3, 0, DarkStoneWeird2.png, Main
Block: -3, 3, 0, DarkStoneWeird2.png, Main
Block: -2, 3, 0, DarkStoneWeird1.png, Main
Block: -1, 3, 0, DarkStoneWeird3.png, Main
Block: 0, 3, 0, DarkStoneWeird2.png, Main
Block: 1, 3, 0, DarkStoneWeird2.png, Main
Block: 2, 3, 0, DarkStoneWeird3.png, Main
Block: 3, 3, 0, DarkStoneWeird1.png, Main
Block: -4, 4, 0, DarkStoneWeird4.png, Main
Block: -3, 4, 0, DarkStoneWeird1.png, Main
Block: -2, 4, 0, DarkStoneWeird2.png, Main
Block: -1, 4, 0, DarkStoneWeird1.png, Main
Block: 0, 4, 0, DarkStoneWeird4.png, Main
Block: 1, 4, 0, DarkStoneWeird1.png, Main
Block: 2, 4, 0, DarkStoneWeird1.png, Main
Block: 3, 4, 0, DarkStoneWeird2.png, Main
Door: -5, -5, Main, Main
Enemy: 2, 4, Goblin
Enemy: 3, -3, Goblin
Enemy: 3, -6, Goblin
Enemy: 1, -4, Goblin
Enemy: 1, 0, Goblin
Enemy: -2, 1, Goblin
PlayerStart: -14, -5
PlayerStart: -14, -4
PlayerStart: -14, -3
PlayerStart: -14, -2
