# Isometric level. One entity per line; the in-game editor writes this file.
# Block: x, y, height(feet), type, room
Block: -4, 0, 0, PixelStoneSurface.png, Main
Block: -3, 0, 0, PixelStoneSurface.png, Main
Block: -2, 0, 0, PixelStoneSurface.png, Main
Block: -1, 0, 0, PixelStoneSurface.png, Main
Block: 0, 0, 0, PixelGrassSurface, Main
Block: 1, 0, 0, PixelStoneSurface.png, Main
Block: 2, 0, 1, PixelGrassSurface.png, Main
Block: 3, 0, 1, PixelGrassSurface.png, Main
Block: 4, 0, 1, PixelGrassSurface.png, Main
Block: 5, 0, 1, PixelGrassSurface.png, Main
Block: 6, 0, 1, PixelGrassSurface.png, Main
Block: 7, 0, 1, PixelGrassSurface.png, Main
Block: 8, 0, 1, PixelGrassSurface.png, Main
Block: 9, 0, 1, PixelGrassSurface.png, Main
Block: 10, 0, 1, PixelGrassSurface.png, Main
Block: 11, 0, 1, PixelGrassSurface.png, Main
Block: -4, 1, 0, PixelStoneSurface.png, Main
Block: -3, 1, 0, PixelStoneSurface.png, Main
Block: -2, 1, 0, PixelStoneSurface.png, Main
Block: -1, 1, 0, PixelStoneSurface.png, Main
Block: 0, 1, 0, PixelGrassSurface, Main
Block: 1, 1, 0, PixelStoneSurface.png, Main
Block: 2, 1, 1, PixelGrassSurface.png, Main
Block: 3, 1, 1, PixelGrassSurface.png, Main
Block: 4, 1, 1, PixelGrassSurface.png, Main
Block: 5, 1, 1, PixelGrassSurface.png, Main
Block: 6, 1, 1, PixelGrassSurface.png, Main
Block: 7, 1, 1, PixelGrassSurface.png, Main
Block: 8, 1, 1, PixelGrassSurface.png, Main
Block: 9, 1, 1, PixelGrassSurface.png, Main
Block: 10, 1, 1, PixelGrassSurface.png, Main
Block: 11, 1, 1, PixelGrassSurface.png, Main
Block: -4, 2, 0, PixelStoneSurface.png, Main
Block: -3, 2, 0, PixelStoneSurface.png, Main
Block: -2, 2, 0, PixelStoneSurface.png, Main
Block: -1, 2, 0, PixelStoneSurface.png, Main
Block: 0, 2, 0, PixelStoneSurface.png, Main
Block: 1, 2, 0, PixelStoneSurface.png, Main
Block: 2, 2, 1, PixelGrassSurface.png, Main
Block: 3, 2, 1, PixelGrassSurface.png, Main
Block: 4, 2, 1, PixelGrassSurface.png, Main
Block: 5, 2, 1, PixelGrassSurface.png, Main
Block: 6, 2, 1, PixelGrassSurface.png, Main
Block: 7, 2, 1, PixelGrassSurface.png, Main
Block: 8, 2, 1, PixelGrassSurface.png, Main
Block: 9, 2, 1, PixelGrassSurface.png, Main
Block: 10, 2, 1, PixelGrassSurface.png, Main
Block: 11, 2, 1, PixelGrassSurface.png, Main
Block: -4, 3, 0, PixelStoneSurface.png, Main
Block: -3, 3, 0, PixelStoneSurface.png, Main
Block: -2, 3, 0, PixelStoneSurface.png, Main
Block: -1, 3, 0, PixelStoneSurface.png, Main
Block: 0, 3, 0, PixelStoneSurface.png, Main
Block: 1, 3, 0, PixelStoneSurface.png, Main
Block: 2, 3, 1, PixelGrassSurface.png, Main
Block: 3, 3, 1, PixelGrassSurface.png, Main
Block: 4, 3, 1, PixelGrassSurface.png, Main
Block: 5, 3, 1, PixelGrassSurface.png, Main
Block: 6, 3, 1, PixelGrassSurface.png, Main
Block: 7, 3, 1, PixelGrassSurface.png, Main
Block: 8, 3, 1, PixelGrassSurface.png, Main
Block: 9, 3, 1, PixelGrassSurface.png, Main
Block: 10, 3, 1, PixelGrassSurface.png, Main
Block: 11, 3, 1, PixelGrassSurface.png, Main
Block: -4, 4, 0, PixelStoneSurface.png, Main
Block: -3, 4, 0, PixelStoneSurface.png, Main
Block: -2, 4, 0, PixelStoneSurface.png, Main
Block: -1, 4, 0, PixelStoneSurface.png, Main
Block: 0, 4, 0, PixelStoneSurface.png, Main
Block: 1, 4, 0, PixelStoneSurface.png, Main
Block: 2, 4, 1, PixelGrassSurface.png, Main
Block: 3, 4, 1, PixelGrassSurface.png, Main
Block: 4, 4, 1, PixelGrassSurface.png, Main
Block: 5, 4, 1, PixelGrassSurface.png, Main
Block: 6, 4, 1, PixelGrassSurface.png, Main
Block: 7, 4, 1, PixelGrassSurface.png, Main
Block: 8, 4, 1, PixelGrassSurface.png, Main
Block: 9, 4, 1, PixelGrassSurface.png, Main
Block: 10, 4, 1, PixelGrassSurface.png, Main
